id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1186586,2025-07-07,000001,Vente,347100,15,,RUE LOUIS BLANC,5150,92250,92035,La Garenne-Colombes,92,,,920350000M0274,,,58,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.248797,48.91058
2025-1186586,2025-07-07,000001,Vente,347100,15,,RUE LOUIS BLANC,5150,92250,92035,La Garenne-Colombes,92,,,920350000M0274,,,16,,24,,,,,,,,2,2,Appartement,74,3,,,,,,2.248797,48.91058
2025-1186587,2025-07-23,000001,Vente,462875,41,,RUE ARISTIDE BRIAND,0080,92300,92044,Levallois-Perret,92,,,920440000T0161,,,149,43.1,202,,,,,,,,2,3,Dépendance,,0,,,,,,2.284697,48.891197
2025-1186587,2025-07-23,000001,Vente,462875,41,,RUE ARISTIDE BRIAND,0080,92300,92044,Levallois-Perret,92,,,920440000T0161,,,149,43.1,202,,,,,,,,2,2,Appartement,44,1,,,,,,2.284697,48.891197
2025-1186588,2025-07-21,000001,Vente,328600,290,,AV NAPOLEON BONAPARTE,2720,92500,92063,Rueil-Malmaison,92,,,92063000BP0009,,,1003,,1017,,,,,,,,2,3,Dépendance,,0,,,,,,2.162962,48.87372
2025-1186588,2025-07-21,000001,Vente,328600,290,,AV NAPOLEON BONAPARTE,2720,92500,92063,Rueil-Malmaison,92,,,92063000BP0009,,,1003,,1017,,,,,,,,2,2,Appartement,59,3,,,,,,2.162962,48.87372
2025-1186588,2025-07-21,000001,Vente,328600,290,,AV NAPOLEON BONAPARTE,2720,92500,92063,Rueil-Malmaison,92,,,92063000BP0009,,,1012,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.162962,48.87372
2025-1186589,2025-07-22,000001,Vente,828000,22,,RUE AMAL DE JOINVILLE,0040,92200,92051,Neuilly-sur-Seine,92,,,920510000N0027,,,32,,6,69.97,,,,,,,2,3,Dépendance,,0,,,,,,2.26825,48.887977
2025-1186589,2025-07-22,000001,Vente,828000,22,,RUE AMAL DE JOINVILLE,0040,92200,92051,Neuilly-sur-Seine,92,,,920510000N0027,,,32,,6,69.97,,,,,,,2,2,Appartement,64,4,,,,,,2.26825,48.887977
2025-1186590,2025-07-17,000001,Vente,377500,20,,RUE DES HETRES,4465,92000,92050,Nanterre,92,,,920500000N0158,,,5,88.11,,,,,,,,,1,3,Dépendance,,0,,,,,,2.220893,48.911209
2025-1186590,2025-07-17,000001,Vente,377500,20,,RUE DES HETRES,4465,92000,92050,Nanterre,92,,,920500000N0158,,,5,88.11,,,,,,,,,1,1,Maison,86,5,,,,,,2.220893,48.911209
2025-1186591,2025-07-07,000001,Vente,357288,7,,RUE DE L'AVENIR,0095,92000,92050,Nanterre,92,,,920500000Y0214,,,130,66.25,79,,,,,,,,2,2,Appartement,66,3,,,,,,2.201242,48.898208
2025-1186591,2025-07-07,000001,Vente,357288,7,,RUE DE L'AVENIR,0095,92000,92050,Nanterre,92,,,920500000Y0214,,,130,66.25,79,,,,,,,,2,3,Dépendance,,0,,,,,,2.201242,48.898208
2025-1186591,2025-07-07,000001,Vente,357288,9,,RUE DU DOCTEUR PIERRE,2557,92000,92050,Nanterre,92,,,920500000Y0214,,,34,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.201242,48.898208
